,names,links,description
0,Aluminum Starch Octenylsuccinate,https://incidecoder.com//ingredients/aluminum-starch-octenylsuccinate,A handy helper ingredient that comes in a white powder form and works as an anticaking and oilabsorbing agent It also gives products good spreadability long lasting and velvet touch characteristics It is popular both in skincare and makeup products
1,Amaranthus Caudatus Seed Extract,https://incidecoder.com//ingredients/amaranthus-caudatus-seed-extract,Its the seed extract of a plant called amaranth or loveliesbleeding Its a really ancient plant grown by Aztecs Incas and Mayas as their main food and they called it “the golden grain” They believed it had supernatural powers Nowadays its a popular health food because the seeds have great nutritional benefits and are high in proteinAs for skincare there are two types of the seed extract 1 The aqueous extract contains a high concentration of peptides and polysaccharides and helps to improve the combability and manageability of damaged hair 2 The oily extract is more common and acts as other similar emollient plant oils Its rich in nonsaturated fatty acids linoleic acidomega6 and oleic acidomega9 and squalene and is a great moisturizer and emollient for both skin and hair
2,Aminomethyl Propanol,https://incidecoder.com//ingredients/aminomethyl-propanol,An alkaline high pH aka basic material that is used to set the pH of the cosmetic formula to the right value
3,Aminopropyl Ascorbyl Phosphate,https://incidecoder.com//ingredients/aminopropyl-ascorbyl-phosphate,"A vitamin C derivative thats created by combining ascorbic acid pure vitamin C with a molecule called 3APPA it stands for 3aminoproply dehydrogen phosphate If you do not know what the big deal about vitamin C is you are missing out and you have to click here and read all the geeky details about it
So now you know that vitamin C is awesome Its proven to have antioxidant collagenboosting and skinbrightening magic abilities but the problem is that its really really unstable To solve the stability issue the cosmetic industry is coming up with derivatives and Aminopropyl Ascorbyl Phosphate AAP is a newish version created by a Korean company
According to the manufacturer AAP is a water soluble stable derivative that has both antiwrinkle and whitening effects They conducted an invivo made on real people study with 33 participants and found that the test formula with just 05 AAP significantly reduced hyperpigmentation age spots after 8 weeks by 2933 They also measured a dramatic decrease in the total number of wrinkles about 23 after 8 weeks If thats dramatic we are not sure Also be patient because after 4 weeks the wrinkle reduction was only a couple of percent
As for published studies on AAP we found hardly anything We found one done by Estee Lauder that briefly mentions AAP as an antioxidant that adds additional UV protection to sunscreen formulas Another one done by Oriflame reviewed skinwhitening ingredients and also briefly mentioned AAP as a skinlightening active
Overall there is not much data on Aminopropyl Ascorbyl Phosphate but it does seem like a promising derivative with antioxidant antiwrinkle and skinbrightening properties If you are into vitamin C derivatives and are happy to experiment its worth a go"
4,Ammonium Acryloyldimethyltaurate/​VP Copolymer,https://incidecoder.com//ingredients/ammonium-acryloyldimethyltaurate-vp-copolymer,A kind of polymer big molecule from repeated subunits that helps to create beautiful gellike textures Its also a texturizer and thickener for oilinwater emulsions It gives products a good skin feel and does not make the formula tacky or sticky It works over a wide pH range and is used between 0512
5,Ammonium Glycolate,https://incidecoder.com//ingredients/ammonium-glycolate,A synthetic form of famous AHA glycolic acid Usually used as a pH adjuster to make sure the product has the right pH usually pH 34 for exfoliation to do its magic
6,Ammonium Lauryl Sulfate,https://incidecoder.com//ingredients/ammonium-lauryl-sulfate,A pretty common cleansing agent that can be derived from coconut or palm kernel oil Its liked for its great foaming abilities and can help to create a creamy and luxurious lather in bath products It is chemically closely related to knownforits harshness SLS but the Ammonium part makes it milder
7,Ammonium Polyacryloyldimethyl Taurate,https://incidecoder.com//ingredients/ammonium-polyacryloyldimethyl-taurate,There is not much info about this guy in itself other than it helps to thicken up products and stabilize oilinwater emulsions It usually comes to the formula as part of some thickener complex For example coupled with isohexadecane and polysorbate 80 the trio forms an instant gel upon mixing with water
8,Ammonium Xylenesulfonate,https://incidecoder.com//ingredients/ammonium-xylenesulfonate,There is not much information out there about Ammonium Xylenesulfonate other than it being a cleansing agent Its also a socalled hydrotrope an ingredient that enhances the solubility of things which are only slightly soluble in water On Ulprospector we could find the ingredient as part of a shampoo surfactant blend
9,Amodimethicone,https://incidecoder.com//ingredients/amodimethicone,A modified dimethiconetype silicone molecule that also contains aminogroups Having aminogroups means that Amodimethicone also has Nitrogen in its molecule that likes to have a positive charge Positively charged or quaternised molecules are substantive to skin and hair as those are negatively charged surfaces and are excellent film formers Amodiemthcone is no exception and it is especially recommended for haircare products for its longlasting hair conditioning benefits
