,name,ingredient_list
0,age spot brightening pen,"['water', 'butylene glycol', 'alcohol', 'dipropylene glycol', 'peg-75', 'glycereth-26', 'ascorbyl glucoside', 'camellia sinensis leaf extract', 'panax ginseng root extract', 'glycyrrhiza glabra (licorice) root extract', 'magnolia obovata bark extract', 'equisetum arvense extract', 'calcium pantetheine sulfonate', 'betaine', 'biosaccharide gum-1', 'carbomer', 'peg-60 hydrogenated castor oil', 'sodium citrate', 'cellulose gum', 'citric acid', 'triethanolamine', 'potassium hydroxide', 'disodium edta', 'methylparaben', 'propylparaben', 'fragrance']"
1,all day balancing care serum,"['camellia sinensis leaf water', 'phyllostachis bambusoides juice', 'panax ginseng root extract', 'butylene glycol', 'alcohol', 'carica papaya (papaya) fruit extract', 'water', 'betula platyphylla japonica juice', 'betaine', 'hibiscus abelmoschus seed extract', 'dipotassium glycyrrhizate', 'sodium hyaluronate', 'beta-glucan', 'natto gum', 'tricholoma matsutake extract', 'camellia sinensis callus culture conditioned media', 'camellia sinensis callus culture extract', 'magnolia obovata bark extract', 'theanine', 'peg/ppg-17/6 copolymer', 'hydrogenated lecithin', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', 'glycerin', 'carbomer', 'cellulose gum', 'propanediol', 'xanthan gum', '1 2-hexanediol', 'tromethamine', 'ethylhexylglycerin', 'disodium edta', 'phenoxyethanol', 'fragrance']"
2,bio-enzyme refining complex,"['panax ginseng root extract', 'cyclopentasiloxane', 'dimethicone', 'butylene glycol', 'glycerin', 'polysilicone-11', 'phyllostachis bambusoides juice', 'peg-10 dimethicone', 'punica granatum extract', 'castanea sativa (chestnut) seed extract', 'honey extract', 'carum petroselinum (parsley) extract', 'tricholoma matsutake extract', 'vitis vinifera (grape) leaf extract', 'glycyrrhiza glabra (licorice) root extract', 'caffeine', 'daucus carota sativa (carrot) root extract', 'hydrolyzed ginseng saponins', 'betaine', 'sodium pca', 'bht', 'sorbitol', 'serine', 'glycine', 'glutamic acid', 'zinc gluconate', 'magnesium aspartate', 'lysine', 'arginine', 'alanine', 'threonine', 'copper gluconate', 'calcium gluconate', 'proline', 'acetyl glucosamine', 'theanine', 'sodium chloride', 'polymethyl methacrylate', 'nylon-12', 'water', 'methyl methacrylate/acrylonitrile copolymer', 'dimethicone/peg-10/15 crosspolymer', 'polysorbate 40', 'isohexadecane', 'ammonium polyacryloyldimethyl taurate', 'propylene glycol', 'hydrogenated lecithin', 'ethyl hexanediol', 'peg-5 rapeseed sterol', 'papain', 'peg-75', 'disodium edta', 'methylparaben', 'propylparaben', 'fragrance']"
3,color control cushion compact spf50,"['phyllostachis bambusoides juice', 'cyclopentasiloxane', 'cyclohexasiloxane', 'peg-10 dimethicone', 'phenyl trimethicone', 'butylene glycol', 'butylene glycol dicaprylate/dicaprate', 'alcohol', 'arbutin', 'lauryl peg-9 polydimethylsiloxyethyl dimethicone', 'acrylates/ethylhexyl acrylate/dimethicone methacrylate copolymer', 'polyhydroxystearic acid', 'sodium chloride', 'polymethyl methacrylate', 'aluminium hydroxide', 'stearic acid', 'disteardimonium hectorite', 'triethoxycaprylylsilane', 'ethylhexyl palmitate', 'lecithin', 'isostearic acid', 'isopropyl palmitate', 'phenoxyethanol', 'polyglyceryl-3 polyricinoleate', 'acrylates/stearyl acrylate/dimethicone methacrylate copolymer', 'dimethicone', 'disodium edta', 'trimethylsiloxysilicate', 'ethylhexyglycerin', 'dimethicone/vinyl dimethicone crosspolymer', 'aqua/water/eau', 'silica', 'camellia japonica seed oil', 'camillia sinensis leaf extract', 'caprylyl glycol', '1 2-hexanediol', 'parfum/fragrance', 'titanium dioxide', 'iron oxides (ci 77492', 'ci 77491', 'ci77499)']"
4,future response age defense cr̬me,"['camellia sinensis leaf water', 'dicaprylyl carbonate', 'caprylic/capric triglyceride', 'butyrospermum parkii (shea butter)', 'butylene glycol', 'glycereth-26', 'alcohol', 'behenyl alcohol', 'peg/ppg/polybutylene glycol-8/5/3 glycerin', 'mangifera indica (mango) seed oil', 'hydrogenated c6-14 olefin polymers', 'arachidyl alcohol', 'pentaerythrityl tetraisostearate', 'pentaerythrityl tetraethylhexanoate', 'hydrogenated polydecene', 'peg/ppg-17/6 copolymer', 'tricholoma matsutake extract', 'camellia sinensis leaf extract', 'camellia sinensis seed oil/palm oil aminopropanediol esters', 'sodium hyaluronate', 'xylitylglucoside', 'anhydroxylitol', 'xylitol', 'punica granatum extract', 'opuntia coccinellifera', 'iris florentina root extract', 'lagerstroemia indica flower extract', 'gossypium herbaceum (cotton) extract', 'centella asiatica extract', 'oryza sativa (rice) bran extract', 'zingiber officinale (ginger) root extract', 'glycine soja (soybean) seed extract', 'magnolia obovata bark extract', 'nelumbo nucifera flower extract', 'curcumin', 'arachidyl glucoside', 'polyacrylate-13', 'polyisobutene', 'niacinamide', 'peg-100 stearate', 'glyceryl stearate', 'carbomer', 'triethanolamine', 'polysorbate 20', 'glycerin', 'caprylyl glycol', '1 2-hexanediol', 'ethylhexylglycerin', 'disodium edta', 'phenoxyethanol', 'methylparaben', 'ethylparaben', 'yellow 5 (ci 19140)', 'yellow 6 (ci 15985)', 'fragrance']"
5,future response age defense creme spf 30,"['water', 'butylene glycol', 'octocrylene', 'ethylhexyl methoxycinnamate', 'ethylhexyl salicylate', 'titanium dioxide', 'c12-15 alkyl benzoate', 'cyclopentasiloxane', 'cetearyl alcohol', 'cyclohexasiloxane', '1 2-hexanediol', 'tricholoma matsutake extract', 'camellia sinensis leaf extract', 'camellia sinensis leaf powder', 'methoxy peg-114/polyepsilon caprolactone', 'peg-100 stearate', 'glyceryl stearate', 'aluminum stearate', 'polyacrylate-13', 'polyhydroxystearic acid', 'alumina', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', 'polyisobutene', 'stearic acid', 'carbomer', 'polysorbate 20', 'epigallocatechin gallate', 'polyglutamic acid', 'theanine', 'caprylyl glycol', 'ethylhexylglycerin', 'disodium edta', 'fragrance', 'iron oxides (ci 77492)', 'iron oxides (ci 77491)']"
6,future response age defense dual eye cr̬me -day spf25,"['camellia sinensis leaf water', 'butylene glycol', 'c12-15 alkyl benzoate', 'alcohol', 'cyclopentasiloxane', 'cetearyl alcohol', 'cyclohexasiloxane', '1 2-hexanediol', 'glyceryl stearate', 'glyceryl caprylate', 'camellia sinensis leaf extract', 'disodium edta', 'prunus mume fruit extract', 'methoxy peg-114/polyepsilon caprolactone', 'tricholoma matsutake extract', 'stearic acid', 'alumina', 'aluminum stearate', 'ethylhexylglycerin', 'water', 'carbomer', 'kaolin', 'caprylyl glycol', 'phenoxyethanol', 'polysorbate 20', 'polyacrylate-13', 'polyisobutene', 'polyhydroxystearic acid', 'peg-100 stearate', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', 'fragrance/active ingredients: ethylhexyl methoxycinnamate 7%', 'ethylhexyl salicylate 4.5%', 'octocrylene 8.0%', 'titanium dioxide 4.4% /']"
7,future response age defense dual eye cr̬me -night,"['camellia sinensis leaf water', 'butylene glycol', 'glycerin', 'hydrogenated poly(c6-14 olefin)', 'alcohol', 'pentaerythrityl tetraethylhexanoate', 'water', 'trioctyldodecyl citrate', 'polyglyceryl-3 methylglucose distearate', 'glyceryl stearate', 'behenyl alcohol', 'dimethicone', 'phytosteryl/behenyl/octyldodecyl lauroyl glutamate', 'dipalmitoyl hydroxyproline', 'theanine', 'camellia sinensis leaf extract', 'tricholoma matsutake extract', 'camellia sinensis leaf powder', 'sodium hyaluronate', 'caffeine', 'polyglutamic acid', 'epigallocatechin gallate', 'kaolin', 'trisiloxane', 'peg-100 stearate', 'cetearyl alcohol', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', 'polyacrylate-13', 'polyisobutene', 'ethylhexylglycerin', 'polysorbate 20', '1 2-hexanediol', 'caprylyl glycol', 'phenoxyethanol', 'disodium edta', 'fragrance']"
8,green tea seed treatment oil,"['caprylic/capric triglyceride', 'dicaprylyl carbonate', 'helianthus annuus (sunflower) seed oil', 'squalane', 'camellia sinensis seed oil', 'camellia sinensis seed oil/palm oil aminopropanediol esters', 'tocopherol', 'fragrance']"
9,don't worry bee care calendula toner,"['water', 'alcohol', 'butylene glycol', 'glycerin', 'calendula officinals flower', 'propolis extract', 'hamamelis virginiana (witch hazel) bark/leaf/wig xtract', 'aloe barbadensis leaf juice', 'sodium hyaluronate', 'glycosyl trehalose', 'hydrogentaed starch hydrolysate', 'allantoin', 'pef-60 hydrogenated cstror oil', 'methylparaben', 'disodium edta', 'saliylic acid', 'fragrance']"
10,intensive vitalizing eye essence,"['camellia sinensis leaf water', 'butylene glycol', 'glycerin', 'glycereth-26', 'avena sativa (oat) kernel extract', 'alcohol', 'methyl trimethicone', 'diethoxyethyl succinate', 'glyceryl polymethacrylate', 'water', 'camellia sinensis leaf extract', 'niacinamide', 'aspergillus ferment', 'lactobacillus/water hyacinth ferment', 'caffeine', 'mannitol', 'hydrogenated lecithin', 'bis-peg-18 methyl ether dimethyl silane', 'acrylates/c10-30 alkyl acrylate crosspolymer', 'peg-60 hydrogenated castor oil', 'caprylic/capric triglyceride', 'behenyl alcohol', 'polyglyceryl-10 pentastearate', 'cetearyl alcohol', 'sodium stearoyl lactylate', 'cetearyl glucoside', 'ethylhexylglycerin', 'caprylyl glycol', 'glyceryl caprylate', 'tromethamine', 'disodium edta', 'phenoxyethanol', 'fragrance']"
11,line modifier intensive wrinkle treatment,"['panax ginseng root extract', 'water', 'glycerin', 'butylene glycol', 'cyclopentasiloxane', 'dimethicone', 'pentaerythrityl tetraethylhexanoate', 'beta-glucan', 'limnanthes alba (meadowfoam) seed oil', 'peg-5 rapeseed sterol', 'hydrogenated lecithin', 'peg-75', 'hydrolyzed ginseng saponins', 'daucus carota sativa (carrot) root extract', 'dioscorea villosa (wild yam) root extract', 'tricholoma matsutake extract', 'retinol', 'zingiber officinale (ginger) root extract', 'phyllostachis bambusoides juice', 'cetearyl alcohol', 'glyceryl stearate', 'polyglyceryl-10 stearate', 'polyacrylate-13', 'stearic acid', 'methoxy peg-114/polyepsilon caprolactone', 'cyclodextrin', 'polyisobutene', 'triethanolamine', 'polysorbate 20', 'biosaccharide gum-1', 'disodium edta', 'chlorphenesin', 'methylparaben', 'propylparaben', 'ci19140', 'fragrance']"
12,line revolution firming neck cr̬me,"['panax ginseng root extract', 'butylene glycol', 'pentaerythrityl tetraethylhexanoate', 'glycerin', 'cyclopentasiloxane', 'phytosteryl/behenyl/octyldodecyl lauroyl glutamate', 'caprylic/capric triglyceride', 'niacinamide', 'polyglyceryl-3 methylglucose distearate', 'water', 'hydroxypropyl starch phosphate', 'cyclohexasiloxane', 'behenyl alcohol', 'oleanolic acid', 'lagerstroemia indica flower extract', 'pisum sativum (pea) extract', 'epigallocatechin gallate', 'beta-carotene', 'lecithin', '1 2-hexanediol', 'cetyl alcohol', 'glyceryl stearate', 'dipalmitoyl hydroxyproline', 'alcohol', 'peg-75 stearate', 'steareth-20', 'ceteth-20', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', 'propylene glycol', 'polysilicone-11', 'ethylhexylglycerin', 'acrylates/ammonium methacrylate copolymer', 'xanthan gum', 'citric acid', 'potassium hydroxide', 'polyacrylic acid', 'titanium dioxide', 'bht', 'poloxamer 235', 'caprylyl glycol', 'ethoxydiglycol', 'tocophersolan', 'poloxamer 338', 'disodium edta', 'phenoxyethanol', 'fragrance', 'yellow 5 (ci 19140)']"
13,moisture bond refreshing hydra-gel oil free,"['phyllostachis bambusoides juice', 'butylene glycol', 'cyclopentasiloxane', 'hydrogenated polyisobutene', 'glycerin', 'dimethicone', 'xylitylglucoside', 'alcohol', 'tricholoma matsutake extract', 'panax ginseng root extract', 'zingiber officinale (ginger) root extract', 'trehalose', 'serine', 'glycine', 'hydrolyzed ginseng saponins', 'kaempferol', 'glutamic acid', 'alanine', 'lysine', 'arginine', 'threonine', 'cetearyl alcohol', 'peg-40 stearate', 'anhydroxylitol', 'silica', 'sodium polyacrylate', 'sucrose stearate', 'sorbitan sesquioleate', 'hydrogenated polydecene', 'polysilicone-11', 'xylitol', 'triethanolamine', 'carbomer', 'peg/ppg-18/18 dimethicone', 'titanium dioxide', 'ppg-5-laureth-5', 'betaine', 'biosaccharide gum-1', 'sodium pca', 'hydrated silica', 'propylene glycol', 'sorbitol', 'hydrogenated lecithin', 'aluminum hydroxide', 'peg-5 rapeseed sterol', 'ethyl hexanediol', 'proline', 'zinc gluconate', 'bht', 'magnesium aspartate', 'copper gluconate', 'calcium gluconate', 'disodium edta', 'methylparaben', 'propylparaben', 'ci 42090', 'fragrance']"
14,moisture bond rejuvenating cr̬me,"['phyllostachis bambusoides juice', 'butylene glycol', 'water', 'alcohol', 'glycerin', 'butylene glycol dicaprylate/dicaprate', 'dimethicone', 'pentaerythrityl tetraethylhexanoate', 'squalane', 'caprylic/capric triglyceride', 'camellia sinensis leaf extract', 'cetearyl alcohol', 'c14-22 alcohols', 'opuntia coccinellifera fruit extract', 'glycine soja (soybean) seed extract', 'nelumbo nucifera flower extract', 'hydrolyzed phyllostachis bambusoides', 'hydrolyzed camellia sinensis leaf', 'sodium hyaluronate', 'beta-glucan', 'hydroxypropyl bispalmitamide mea', 'theanine', 'camellia sinensis flower extract', 'kaempferol', 'epigallocatechin gallate', 'xylitylglucoside', 'anhydroxylitol', 'xylitol', 'stearyl behenate', 'cyclopentasiloxane', 'cetearyl olivate', 'stearic acid', 'sorbitan olivate', 'dimethiconol', 'limnanthes alba (meadowfoam) seed oil', 'propanediol', 'glyceryl stearate', 'peg-100 stearate', 'polyacrylate-13', 'c12-20 alkyl glucoside', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', 'polyglyceryl-3 methylglucose distearate', 'polyisobutene', 'tocopherol', 'polysorbate 20', 'ethylhexylglycerin', 'peg-15 pentaerythrityl tetra(laureth-6 carboxylate)', 'phytantriol', 'poloxamer 407', 'inulin lauryl carbamate', 'ammonium acryloyldimethyltaurate/vp copolymer', 'caffeine', 'disodium edta', 'phenoxyethanol', 'fragrance']"
15,moisture bond rejuvenating eye treatment gel,"['phyllostachis bambusoides juice', 'cyclopentasiloxane', 'dimethicone', 'glycerin', 'butylene glycol', 'cyclohexasiloxane', 'alcohol', 'peg-75', 'peg-10 dimethicone', 'biosaccharide gum-1', 'squalane', 'niacinamide', 'acetyl glucosamine', 'hydrolyzed phyllostachis bambusoides', 'hydrolyzed camellia sinensis leaf', 'glycine soja (soybean) seed extract', 'nelumbo nucifera flower extract', 'opuntia coccinellifera fruit extract', 'hesperidin', 'caffeine', 'theanine', 'kaempferol', 'camellia sinensis flower extract', 'natto gum', 'beta-glucan', 'sodium hyaluronate', 'tocopherol', 'phytantriol', 'epigallocatechin gallate', 'disteardimonium hectorite', 'lauryl peg-9 polydimethylsiloxyethyl dimethicone', 'polysilicone-11', 'propanediol', 'dimethiconol', 'dimethicone/vinyl dimethicone crosspolymer', 'stearyl behenate', 'polyglyceryl-3 methylglucose distearate', 'hydroxypropyl bispalmitamide mea', 'inulin lauryl carbamate', 'polysorbate 20', 'peg-15 pentaerythrityl tetra (laureth-6 carboxylate)', 'sodium chloride', 'poloxamer 407', 'ammonium acryloyldimethyltaurate/vp copolymer', '1 2-hexanediol', 'disodium edta', 'ethylhexylglycerin', 'phenoxyethanol', 'fragrance']"
16,moisture bond rejuvenating serum,"['phyllostachis bambusoides juice', 'alcohol', 'glycerin', 'propanediol', 'butylene glycol', 'squalane', 'peg/ppg-17/6 copolymer', 'cyclopentasiloxane', 'camellia sinensis leaf extract', 'pentaerythrityl tetraethylhexanoate', 'dimethicone', 'niacinamide', 'acetyl glucosamine', 'betaine', 'opuntia coccinellifera fruit extract', 'glycine soja (soybean) seed extract', 'nelumbo nucifera flower extract', 'hydrolyzed phyllostachis bambusoides', 'hydrolyzed camellia sinensis leaf', 'theanine', 'epigallocatechin gallate', 'kaempferol', 'camellia sinensis flower extract', 'natto gum', 'caffeine', 'beta-glucan', 'sodium hyaluronate', 'cyclohexasiloxane', 'methyl gluceth-20', 'pca dimethicone', 'polymethylsilsesquioxane', 'tocopherol', 'phytantriol', 'c12-16 alcohols', 'bis-peg-18 methyl ether dimethyl silane', 'hydroxypropyl starch phosphate', 'stearyl behenate', 'dimethiconol', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', 'polysorbate 20', 'carbomer', 'palmitic acid', 'hydrogenated lecithin', 'acrylates/c10-30 alkyl acrylate crosspolymer', 'limnanthes alba (meadowfoam) seed oil', 'polyglyceryl-3 methylglucose distearate', 'mannan', 'peg-15 pentaerythrityl tetra(laureth-6 carboxylate)', 'poloxamer 407', 'ammonium acryloyldimethyltaurate/vp copolymer', 'tromethamine', 'disodium edta', 'ethylhexylglycerin', 'phenoxyethanol', 'fragrance']"
